id,title,platform,cluster,portal_categories,developer,published,player_rating,rating_scale,yg_quality_ru,yg_quality_en,total_votes,votes_daily_increase,votes_30d_increase,age_rating,observed_date,source_url,core_loop_note,monetization_note,hook_note
1,Путь Пикселя,Yandex Games,2D pixel platformer,"Аркады",barqbin,2025-10-18,4.3,5,69,61,16196,13,569,12+,2026-09-15,https://game-analytics.ru/yg/games/put-pikselia-473102,"Short pixel levels, jump/avoid, level-to-level progression (inferred from title/category)",Not observable on source,Pixel-art look; closest YG analogue to our visual style
2,Геометри Даш Волна: Оригинал,Yandex Games,rhythm/one-button runner,"Аркады, Казуальные",Roblox Games,2025-06-03,4.4,5,59,63,18863,28,619,6+,2026-09-15,https://game-analytics.ru/yg/games/geometri-das-volna-original-429406,One-button wave/jump through obstacle course (inferred from title),Not observable on source,Borrowed-IP naming (Geometry Dash)
3,Платформер-Редактор,Yandex Games,2D platformer + level editor (UGC),"Аркады, Казуальные",Kokim,2025-03-04,3.7,5,65,69,4178,4,77,6+,2026-09-15,https://game-analytics.ru/yg/games/platformer-redaktor-412895,Build and play platformer levels (inferred from title),Not observable on source,UGC editor; the best-performing YG title literally named "платформер"
4,Геометрический Платформер: Челлендж,Yandex Games,2D challenge platformer (new release),n/a,Madwill,2026-08-25,,,45,52,24,3,24,,2026-09-15,https://game-analytics.ru/yg/games/geometriceskii-platformer-cellendz-561709,Challenge platformer (inferred from title),Not observable on source,Fresh release: shows cold-start curve
5,Фнаф 5 ночей с Луной: Платформер 2D,Yandex Games,2D platformer (meme/IP-flavoured),n/a,Пластилиновые Сны,2026-02-03,,,37,25,145,1,7,,2026-09-15,https://game-analytics.ru/yg/games/fnaf-5-nocei-s-lunoi-platformer-2d-468017,2D platformer with horror-meme skin (inferred from title),Not observable on source,IP-bait naming; low quality score
6,Обби Паркур: Башня Ада,Yandex Games,3D obby/parkour,"Аркады, Казуальные",CAYN,2023-07-11,4.0,5,70,74,73188,12,613,6+,2026-09-15,https://game-analytics.ru/yg/games/obbi-parkur-basnia-ada-232356,Climb a tower of jump obstacles with checkpoints (inferred from title),Not observable on source,Roblox-style obby framing; top jump game by votes in sample
7,Паркур Онлайн,Yandex Games,3D online parkour,"Аркады",UT,2025-06-23,4.1,5,82,81,16702,31,1269,6+,2026-09-15,https://game-analytics.ru/yg/games/parkur-onlain-436884,Online parkour course (inferred from title),Not observable on source,Online/social layer; highest YG quality score in sample
8,Залазь и Прыгай - Обби Башня,Yandex Games,3D obby tower,"Аркады, Казуальные",Andriy co Games,2025-05-20,4.2,5,72,79,14594,20,662,6+,2026-09-15,https://game-analytics.ru/yg/games/zalaz-i-prygai-obbi-basnia-435473,Climb/jump tower (inferred from title),Not observable on source,Obby framing
9,Клавишный побег: +1 к скорости,Yandex Games,"+1 speed" meme obby,"Аркады, Казуальные",PuppetMaster,2026-07-07,4.0,5,80,90,8461,69,8461,6+,2026-09-15,https://game-analytics.ru/yg/games/klavisnyi-pobeg-1-k-skorosti-538799,Run to gain +1 speed per tick/step then escape course (inferred from title),Not observable on source,Summer-2026 meme wave; many clones in Arcade 30-day growth list
10,Онлайн Обби: +1 Скорость к побегу из Клавиатуры!,Yandex Games,"+1 speed" meme obby (online),n/a,MapStudio,2026-06-10,,,75,86,16214,60,1854,,2026-09-15,https://game-analytics.ru/yg/games/onlain-obbi-1-skorost-k-pobegu-iz-klaviatury-535429,Same as #9 with online layer (inferred from title),Not observable on source,Clone of the same wave
11,Обби: Тролль Башня Шлепков Онлайн,Yandex Games,troll obby (online),n/a,M8X Studio,2025-09-10,,,75,71,7893,13,691,,2026-09-15,https://game-analytics.ru/yg/games/obbi-troll-basnia-slepkov-onlain-448845,Obstacle tower with troll traps (inferred from title),Not observable on source,Troll/trick-level humour on YG
12,Рыцари и Принцессы,Yandex Games,princess-themed casual economic sim,"Экономические, Казуальные",Vizor Apps LTD,2025-04-10,4.3,5,80,65,6463,6,160,12+,2026-09-15,https://game-analytics.ru/yg/games/rycari-i-princessy-410637,Build/manage kingdom economy (inferred from category),Not observable on source,Established mobile publisher porting to web
13,Красотка или Монстр? Собери Принцессу!,Yandex Games,princess dress-up/choice,"Для девочек, Казуальные",Eccentric Studio,2024-09-18,4.3,5,59,66,10501,5,124,12+,2026-09-15,https://game-analytics.ru/yg/games/krasotka-ili-monstr-soberi-princessu-296458,Pick parts to assemble a princess (inferred from title),Not observable on source,Top "принцесс" title by votes
14,Волшебная свадьба принцесс,Yandex Games,legacy princess dress-up,n/a,Gamerina,2019-07-26,,,34,36,9365,,2,,2026-09-15,https://game-analytics.ru/yg/games/volsebnaia-svadba-princess-97680,Dress-up (inferred from title),Not observable on source,Old princess catalogue: low quality scores and almost no new votes
15,Fashion Queen: Dress Run,Yandex Games,dress-up runner (hybrid),"Казуальные, Для девочек",Voodo,2025-01-03,4.0,5,60,62,6726,38,465,6+,2026-09-15,https://game-analytics.ru/yg/games/fashion-queen-dress-run-399903,Run through gates that change outfit; judged at finish (inferred from title),Not observable on source,Outfit-as-progress inside an action loop — nearest genre neighbour to our skin layers
16,Выбор нарядов: раннер,Yandex Games,dress-up runner,"Аркады, Казуальные",C Games,2024-06-27,4.2,5,52,59,867,1,18,12+,2026-09-15,https://game-analytics.ru/yg/games/vybor-nariadov-ranner-348458,Choose outfits on a runner track (inferred from title),Not observable on source,Same hybrid as #15 at small scale
17,Блогер: Одевалка,Yandex Games,dress-up (new hit),"Для девочек, Казуальные",YeahGames,2026-08-22,4.6,5,74,76,4211,139,4211,6+,2026-09-15,https://game-analytics.ru/yg/games/bloger-odevalka-541842,Dress a blogger character for themed looks (inferred from title),Not observable on source,Fastest-growing new title in "Для девочек" (all votes in <1 month)
18,K-Pop Звезда: Одевалка,Yandex Games,dress-up (new),"Для девочек",YeahGames,2026-07-24,,,62,65,1149,21,1128,,2026-09-15,https://game-analytics.ru/yg/games/k-pop-zvezda-odevalka-543449,Dress-up (inferred from title),Not observable on source,Same studio repeating the dress-up formula
19,Гача Лайф Мерж: открой все образы!,Yandex Games,merge + outfit collection,"Для девочек",Baranka Games,2026-08-17,,,69,69,2605,51,2605,,2026-09-15,https://game-analytics.ru/yg/games/gaca-laif-merz-otkroi-vse-obrazy-559554,Merge items to unlock looks (inferred from title),Not observable on source,"Collect all looks" meta as the hook
20,Сквиши Мерж: Дамплинги и Масло,Yandex Games,merge casual (girls category leader),"Для девочек",Vista Games,2026-07-21,,,75,83,22105,110,21995,,2026-09-15,https://game-analytics.ru/yg/games/skvisi-merz-damplingi-i-maslo-550787,Merge squishy items (inferred from title),Not observable on source,#1 by 30-day vote growth in "Для девочек" on observation date
21,Level Devil,Poki,2D troll platformer,n/a,Unept,,4.41,5,,,4079481,4440,117977,,2026-09-15,https://game-analytics.ru/poki/games/level-devil,Short single-screen levels whose floor/spikes/exit change unexpectedly,Not observable on source,Troll-level surprise; streamer reactions (https://moviesgamesandtech.com/2025/04/08/level-devil-not-a-troll-game/)
22,Stickman Hook,Poki,one-button swing platformer,n/a,Madbox,,4.4,5,,,7870499,1579,40868,,2026-09-15,https://game-analytics.ru/poki/games/stickman-hook,Tap to hook and swing through a short level,Not observable on source,One-input mastery; mobile-hit port
23,Subway Surfers,Poki,endless runner,n/a,SYBO,2019-02-25,4.4,5,,,21319499,5309,148312,,2026-09-15,https://game-analytics.ru/poki/games/subway-surfers,Endless lane runner collecting coins,Not observable on source,Characters/boards collection; genre benchmark
24,Run 3,Poki,2D/3D tunnel platformer,n/a,Joseph Cloutier,,4.51,5,,,538231,27,1015,,2026-09-15,https://game-analytics.ru/poki/games/run-3,Run/jump through gap tunnels by level,Not observable on source,Legacy Flash-era platformer still rated high
25,Rainbow Obby,Poki,obby (web),n/a,emolingo games,,4.13,5,,,1533468,1085,46936,,2026-09-15,https://game-analytics.ru/poki/games/rainbow-obby,Obstacle course with checkpoints,Not observable on source,Obby framing also works on Western portal
26,Princess Lovely Fashion,Poki,princess dress-up,n/a,Go Panda Games Studio,,4.52,5,,,209528,35,1255,,2026-09-15,https://game-analytics.ru/poki/games/princess-lovely-fashion,Dress-up,Not observable on source,Princess dress-up is small on Poki vs general dress-up (#27)
27,Vortella's Dress Up,Poki,dress-up (general),n/a,Devortel,,4.32,5,,,1218183,1266,47046,,2026-09-15,https://game-analytics.ru/poki/games/vortellas-dress-up,Dress-up,Not observable on source,Dress-up demand is broad; theme matters less than depth
28,Royal Glow Princess Makeover,CrazyGames,princess makeover,n/a,,,8.7,10,,,15558,79,2996,,2026-09-15,https://game-analytics.ru/crazy-games/games/royal-glow-princess-makeover-nen,Makeover/dress-up,Not observable on source,Only princess title on CG with notable votes
29,Vex 8,CrazyGames,2D precision platformer,n/a,,,8.7,10,,,8107,,,,2026-09-15,https://game-analytics.ru/crazy-games/games/vex-8,Stickman precision platforming through acts,Not observable on source,Long-running franchise of short hard levels
30,Level EATEN!,CrazyGames,2D trick platformer,n/a,,,9.0,10,,,6034,,223,,2026-09-15,https://game-analytics.ru/crazy-games/games/level-eaten,Platformer where the level itself is the gimmick (inferred from title),Not observable on source,Meta-trick levels in the Level Devil vein
